            Zeit	 pressure_Vacuum
               s	            mbar
     2045.470000	      955.587585
     2045.475000	      955.361572
     2045.480000	      955.405212
     2045.485000	      955.482971
     2045.490000	      955.436768
     2045.495000	      955.567444
     2045.500000	      955.444702
     2045.505000	      955.421875
     2045.510000	      955.450928
     2045.515000	      955.391663
     2045.520000	      955.449646
     2045.525000	      955.397400
     2045.530000	      955.431946
     2045.535000	      955.440491
     2045.540000	      955.387756
     2045.545000	      955.425537
     2045.550000	      955.451843
     2045.555000	      955.448853
     2045.560000	      955.436218
     2045.565000	      955.392578
     2045.570000	      955.275085
     2045.575000	      954.785461
     2045.580000	      954.069946
     2045.585000	      954.001404
     2045.590000	      953.580322
     2045.595000	      952.696777
     2045.600000	      952.714355
     2045.605000	      952.268250
     2045.610000	      951.338562
     2045.615000	      951.401855
     2045.620000	      951.088928
     2045.625000	      950.087830
     2045.630000	      950.041077
     2045.635000	      950.215759
     2045.640000	      949.999084
     2045.645000	      949.866455
     2045.650000	      949.454895
     2045.655000	      949.106262
     2045.660000	      948.872925
     2045.665000	      948.778625
     2045.670000	      948.812195
     2045.675000	      948.696655
     2045.680000	      948.707764
     2045.685000	      948.677612
     2045.690000	      948.677368
     2045.695000	      948.699524
     2045.700000	      948.682068
     2045.705000	      948.621765
     2045.710000	      948.434509
     2045.715000	      948.130310
     2045.720000	      947.906494
     2045.725000	      947.889282
     2045.730000	      947.691406
     2045.735000	      947.573364
     2045.740000	      947.406067
     2045.745000	      947.366882
     2045.750000	      947.410522
     2045.755000	      947.351501
     2045.760000	      947.430969
     2045.765000	      947.374573
     2045.770000	      947.382507
     2045.775000	      947.376099
     2045.780000	      947.351501
     2045.785000	      947.428894
     2045.790000	      947.410522
     2045.795000	      947.494019
     2045.800000	      947.445557
     2045.805000	      947.395142
     2045.810000	      947.583801
     2045.815000	      947.643311
     2045.820000	      947.556702
     2045.825000	      947.488953
     2045.830000	      947.576477
     2045.835000	      947.644897
     2045.840000	      947.589783
     2045.845000	      947.491272
     2045.850000	      947.578857
     2045.855000	      947.673706
     2045.860000	      947.567627
     2045.865000	      947.609192
     2045.870000	      947.542358
     2045.875000	      947.474243
     2045.880000	      947.618408
     2045.885000	      947.716309
     2045.890000	      947.661926
     2045.895000	      947.580139
     2045.900000	      947.653748
     2045.905000	      947.674866
     2045.910000	      947.766174
     2045.915000	      947.722778
     2045.920000	      947.394348
     2045.925000	      947.486206
     2045.930000	      947.412964
     2045.935000	      947.308228
     2045.940000	      947.387573
     2045.945000	      947.323730
     2045.950000	      947.341736
     2045.955000	      947.216614
     2045.960000	      946.709717
     2045.965000	      946.079651
     2045.970000	      946.007324
     2045.975000	      946.075989
     2045.980000	      945.928772
     2045.985000	      945.599670
     2045.990000	      944.958069
     2045.995000	      944.642090
     2046.000000	      944.695007
     2046.005000	      944.695923
     2046.010000	      944.681335
     2046.015000	      944.675354
     2046.020000	      944.613953
     2046.025000	      944.366943
     2046.030000	      943.932434
     2046.035000	      943.590576
     2046.040000	      943.390076
     2046.045000	      942.521484
     2046.050000	      942.244751
     2046.055000	      942.389404
     2046.060000	      941.918945
     2046.065000	      942.141174
     2046.070000	      942.055237
     2046.075000	      941.957642
     2046.080000	      941.906799
     2046.085000	      941.490051
     2046.090000	      941.223206
     2046.095000	      941.035095
     2046.100000	      940.937622
     2046.105000	      940.822754
     2046.110000	      940.928101
     2046.115000	      940.821655
     2046.120000	      940.733337
     2046.125000	      940.845154
     2046.130000	      940.791992
     2046.135000	      940.819702
     2046.140000	      940.863098
     2046.145000	      940.902222
     2046.150000	      940.937500
     2046.155000	      940.980896
     2046.160000	      941.115967
     2046.165000	      941.123840
     2046.170000	      941.135925
     2046.175000	      941.201172
     2046.180000	      941.125244
     2046.185000	      941.308289
     2046.190000	      941.387390
     2046.195000	      941.343201
     2046.200000	      941.521057
     2046.205000	      941.566528
     2046.210000	      941.605835
     2046.215000	      941.704102
     2046.220000	      941.827759
     2046.225000	      941.883362
     2046.230000	      941.763245
     2046.235000	      941.900818
     2046.240000	      942.026184
     2046.245000	      942.035156
     2046.250000	      941.915833
     2046.255000	      941.930664
     2046.260000	      941.967407
     2046.265000	      942.043640
     2046.270000	      942.075562
     2046.275000	      941.981567
     2046.280000	      942.032288
     2046.285000	      942.052734
     2046.290000	      942.109802
     2046.295000	      942.069641
     2046.300000	      942.008850
     2046.305000	      942.039062
     2046.310000	      942.052490
     2046.315000	      942.035278
     2046.320000	      941.987061
     2046.325000	      941.909180
     2046.330000	      941.658630
     2046.335000	      941.418274
     2046.340000	      941.550354
     2046.345000	      941.626465
     2046.350000	      941.354553
     2046.355000	      941.125488
     2046.360000	      941.185181
     2046.365000	      941.091003
     2046.370000	      940.889282
     2046.375000	      940.883179
     2046.380000	      940.822754
     2046.385000	      940.775024
     2046.390000	      940.755127
     2046.395000	      940.772156
     2046.400000	      940.750916
     2046.405000	      940.749146
     2046.410000	      940.766602
     2046.415000	      940.744141
     2046.420000	      940.745728
     2046.425000	      940.752625
     2046.430000	      940.758728
     2046.435000	      940.749634
     2046.440000	      940.764771
     2046.445000	      940.755005
     2046.450000	      940.745483
     2046.455000	      940.768555
     2046.460000	      940.750000
     2046.465000	      940.738586
     2046.470000	      940.756409
     2046.475000	      940.767883
     2046.480000	      940.760864
     2046.485000	      940.755493
     2046.490000	      940.759827
     2046.495000	      940.749634
     2046.500000	      940.738831
     2046.505000	      940.748352
     2046.510000	      940.758484
     2046.515000	      940.765381
     2046.520000	      940.768250
     2046.525000	      940.751709
     2046.530000	      940.764099
     2046.535000	      940.755493
     2046.540000	      940.732056
     2046.545000	      940.753784
     2046.550000	      940.755127
     2046.555000	      940.757568
     2046.560000	      940.791748
     2046.565000	      940.810852
     2046.570000	      940.770203
     2046.575000	      940.693726
     2046.580000	      940.347473
     2046.585000	      939.341553
     2046.590000	      938.381104
     2046.595000	      937.076050
     2046.600000	      935.085815
     2046.605000	      932.823853
     2046.610000	      930.434204
     2046.615000	      929.109619
     2046.620000	      927.679749
     2046.625000	      926.162842
     2046.630000	      925.091003
     2046.635000	      923.810425
     2046.640000	      922.977295
     2046.645000	      922.250854
     2046.650000	      921.269958
     2046.655000	      920.356140
     2046.660000	      919.429565
     2046.665000	      918.307922
     2046.670000	      918.133850
     2046.675000	      918.129211
     2046.680000	      917.302917
     2046.685000	      917.047424
     2046.690000	      917.010681
     2046.695000	      917.064148
     2046.700000	      917.064880
     2046.705000	      917.007446
     2046.710000	      917.076599
     2046.715000	      917.024109
     2046.720000	      917.077148
     2046.725000	      917.212402
     2046.730000	      917.721802
     2046.735000	      918.315613
     2046.740000	      918.304688
     2046.745000	      918.257019
     2046.750000	      918.313293
     2046.755000	      918.267395
     2046.760000	      918.328491
     2046.765000	      918.432861
     2046.770000	      918.538391
     2046.775000	      918.551331
     2046.780000	      918.674561
     2046.785000	      918.642639
     2046.790000	      918.690430
     2046.795000	      918.807434
     2046.800000	      918.995178
     2046.805000	      919.412109
     2046.810000	      919.277100
     2046.815000	      919.372070
     2046.820000	      919.557373
     2046.825000	      919.542480
     2046.830000	      919.512817
     2046.835000	      919.582520
     2046.840000	      919.715637
     2046.845000	      919.934021
     2046.850000	      920.066528
     2046.855000	      919.676575
     2046.860000	      920.153503
     2046.865000	      919.972839
     2046.870000	      919.228271
     2046.875000	      919.618347
     2046.880000	      919.120911
     2046.885000	      918.822266
     2046.890000	      918.800781
     2046.895000	      918.403442
     2046.900000	      918.402283
     2046.905000	      918.341309
